User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00099,25,Male,Bangalore,Apple,iOS,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,Entertainment
U00100,29,Female,Kolkata,Motorola,Android,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,Social Media
U00101,31,Female,Pune,Apple,iOS,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,Education
U00102,39,Male,Pune,Apple,Android,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,Social Media
U00103,15,Other,Mumbai,Realme,iOS,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,Work
U00104,21,Male,Delhi,Apple,Android,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,Entertainment
U00105,56,Male,Hyderabad,Motorola,iOS,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,Entertainment
U00106,29,Female,Jaipur,Xiaomi,iOS,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,Gaming
U00107,58,Female,Chennai,Xiaomi,Android,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,Social Media
U00108,40,Other,Chennai,Xiaomi,Android,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,Work
U00109,38,Other,Hyderabad,Realme,iOS,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,Social Media
U00110,32,Other,Delhi,OnePlus,Android,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,Work
U00111,28,Female,Hyderabad,Samsung,Android,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,Education
U00112,57,Male,Jaipur,Nokia,Android,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,Gaming
U00113,43,Female,Jaipur,Oppo,iOS,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,Social Media
U00114,54,Other,Hyderabad,Google Pixel,Android,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,Social Media
U00115,15,Other,Pune,Oppo,iOS,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,Education
U00116,27,Male,Jaipur,Apple,iOS,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,Education
U00117,56,Male,Chennai,Realme,Android,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,Entertainment
U00118,15,Other,Jaipur,Nokia,Android,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,Education
U00119,19,Female,Chennai,Motorola,iOS,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,Gaming
U00120,31,Other,Mumbai,Realme,iOS,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,Work
U00121,44,Other,Chennai,Nokia,iOS,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,Gaming
U00122,53,Male,Hyderabad,Google Pixel,Android,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,Entertainment
U00123,46,Other,Mumbai,Samsung,iOS,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,Social Media
U00124,25,Other,Hyderabad,OnePlus,iOS,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,Entertainment
U00125,49,Male,Pune,Google Pixel,Android,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,Social Media
U00126,23,Female,Pune,Oppo,iOS,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,Work
U00127,24,Male,Delhi,Samsung,Android,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,Gaming
U00128,21,Male,Mumbai,Oppo,iOS,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,Entertainment
U00129,39,Female,Delhi,Apple,iOS,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,Work
U00130,50,Female,Delhi,Motorola,iOS,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,Social Media
U00131,25,Other,Hyderabad,OnePlus,Android,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,Education
U00132,21,Other,Lucknow,Vivo,Android,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,Entertainment
U00133,39,Female,Hyderabad,Google Pixel,iOS,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,Social Media
U00134,48,Male,Chennai,Apple,iOS,5.0,22.5,98.8,143,2.1,708,7.6,2.9,1389,Social Media
U00135,18,Other,Lucknow,Apple,Android,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,Social Media
U00136,56,Male,Jaipur,Nokia,iOS,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,Entertainment
U00137,43,Other,Lucknow,Samsung,iOS,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,Work
U00138,59,Male,Ahmedabad,Xiaomi,Android,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,Entertainment
U00139,33,Male,Ahmedabad,Apple,iOS,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,Gaming
U00140,19,Male,Lucknow,Vivo,Android,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,Social Media
U00141,59,Female,Kolkata,Xiaomi,Android,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,Gaming
U00142,49,Male,Jaipur,Nokia,Android,1.8,14.2,176.7,138,3.4,4034,8.0,2.5,1130,Education
U00143,53,Female,Bangalore,Xiaomi,Android,8.1,22.6,228.5,48,2.8,1175,5.0,2.2,176,Gaming
U00144,49,Other,Lucknow,Motorola,Android,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,Social Media
U00145,57,Other,Chennai,Motorola,iOS,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,1653,Social Media
U00146,45,Male,Mumbai,Vivo,iOS,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,Social Media
U00147,18,Male,Hyderabad,Apple,Android,6.0,16.7,201.8,43,2.9,4640,5.2,4.6,1497,Entertainment
U00148,42,Male,Chennai,Google Pixel,Android,5.5,49.4,55.7,117,1.4,9032,2.0,4.5,332,Entertainment
U00149,39,Male,Hyderabad,Oppo,Android,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,Social Media
U00150,60,Male,Pune,Samsung,Android,11.8,40.7,134.9,75,2.0,837,2.3,1.8,387,Education
U00151,16,Other,Chennai,Samsung,iOS,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,Entertainment
U00152,51,Male,Delhi,Realme,iOS,1.7,26.0,80.4,33,5.7,8873,4.0,1.3,1318,Social Media
U00153,50,Other,Delhi,Motorola,iOS,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,Work
U00154,29,Female,Lucknow,Vivo,iOS,3.9,19.0,64.4,106,1.0,9942,3.3,0.3,612,Social Media
U00155,51,Female,Lucknow,OnePlus,Android,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,Gaming
U00156,50,Other,Ahmedabad,Nokia,iOS,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,1047,Social Media
U00157,34,Other,Kolkata,OnePlus,Android,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,Social Media
U00158,16,Other,Jaipur,Motorola,iOS,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,Education
U00159,35,Female,Hyderabad,Xiaomi,iOS,7.9,33.3,50.0,90,5.8,8385,6.2,4.0,633,Work
U00160,39,Male,Pune,Oppo,Android,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,Social Media
U00161,38,Male,Jaipur,Nokia,iOS,5.0,27.2,166.8,152,1.8,1111,0.7,4.0,578,Work
U00162,34,Other,Mumbai,Realme,iOS,9.4,9.7,96.8,19,4.0,7564,3.2,2.1,1003,Work
U00163,58,Other,Mumbai,Apple,iOS,7.1,43.3,248.5,57,2.6,8474,2.0,0.9,160,Gaming
U00164,40,Other,Chennai,Vivo,iOS,9.9,14.7,128.0,121,3.6,3870,5.2,3.8,258,Social Media
U00165,20,Female,Jaipur,Google Pixel,iOS,9.0,6.0,137.9,49,0.7,8615,0.8,2.3,223,Education
U00166,29,Male,Chennai,Oppo,iOS,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,Gaming
U00167,29,Other,Chennai,Oppo,iOS,8.1,37.9,218.4,93,4.0,7142,5.5,0.1,157,Gaming
U00168,33,Other,Ahmedabad,Google Pixel,iOS,3.6,36.2,83.9,52,4.9,639,7.9,3.0,1480,Gaming
U00169,28,Other,Hyderabad,Samsung,Android,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,1813,Social Media
U00170,28,Female,Jaipur,Samsung,iOS,7.5,20.6,205.1,188,3.7,7816,3.4,3.0,952,Social Media
U00171,47,Male,Mumbai,Nokia,iOS,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,757,Education
U00172,39,Female,Chennai,Google Pixel,Android,12.0,32.2,35.9,16,4.1,1414,0.8,3.6,233,Entertainment
U00173,47,Male,Chennai,Samsung,Android,5.0,26.6,250.1,21,3.8,2485,7.6,0.6,1723,Social Media
U00174,19,Other,Mumbai,Xiaomi,Android,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,Social Media
U00175,54,Male,Hyderabad,Google Pixel,iOS,8.7,30.9,286.4,173,3.0,2456,6.8,2.3,1716,Social Media
U00176,44,Female,Ahmedabad,Nokia,Android,3.7,26.1,275.5,119,2.8,957,2.4,1.8,590,Work
U00177,52,Female,Lucknow,OnePlus,Android,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,1804,Social Media
U00178,43,Male,Pune,Nokia,Android,5.4,21.2,244.2,140,3.3,8206,7.9,1.0,1178,Social Media
U00179,50,Male,Kolkata,OnePlus,iOS,4.0,9.2,267.7,53,5.7,6357,0.7,1.2,1479,Work
U00180,30,Male,Mumbai,Realme,Android,5.8,15.2,116.0,10,2.5,1605,4.7,0.2,897,Entertainment
U00181,38,Other,Hyderabad,Samsung,Android,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,408,Social Media
U00182,33,Female,Hyderabad,Realme,Android,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,1484,Work
U00183,53,Female,Pune,Google Pixel,Android,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,1150,Work
U00184,56,Male,Kolkata,OnePlus,iOS,10.4,47.4,168.2,127,1.8,126,5.3,1.3,319,Social Media
U00185,58,Female,Pune,Oppo,Android,5.4,14.8,106.0,58,5.0,3633,1.7,4.6,703,Entertainment
U00186,31,Female,Lucknow,Apple,iOS,11.8,35.5,132.0,91,4.4,4462,0.8,2.8,858,Entertainment
U00187,42,Female,Mumbai,Realme,Android,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,Work
U00188,48,Female,Chennai,Google Pixel,Android,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,Work
U00189,51,Female,Delhi,Nokia,iOS,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,Entertainment
U00190,58,Female,Jaipur,Motorola,Android,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,Gaming
U00191,32,Other,Hyderabad,Vivo,Android,1.6,9.1,122.1,120,3.7,2559,6.0,1.3,1557,Gaming
U00192,41,Female,Delhi,Samsung,iOS,4.6,49.0,89.2,28,4.8,8197,6.9,4.4,1969,Social Media
U00193,20,Male,Jaipur,Realme,Android,5.0,33.3,28.3,70,3.1,2828,3.7,2.1,418,Social Media
U00194,52,Other,Hyderabad,Nokia,iOS,2.1,50.0,165.8,126,2.7,5500,6.4,3.9,739,Entertainment
U00195,53,Other,Mumbai,Google Pixel,Android,3.3,43.2,102.8,140,1.3,1248,3.5,0.0,846,Social Media
U00196,23,Male,Chennai,Xiaomi,iOS,8.4,8.0,124.2,51,4.3,6406,3.1,0.1,953,Education
U00197,36,Male,Hyderabad,Google Pixel,Android,3.0,41.0,188.4,95,1.8,627,1.7,4.0,1407,Social Media
U00198,34,Female,Kolkata,Nokia,Android,3.9,43.6,296.2,193,0.8,2430,1.9,4.0,1128,Gaming
U00199,45,Other,Delhi,Apple,Android,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,1082,Social Media
U00200,49,Female,Ahmedabad,Realme,iOS,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,Gaming
U00201,17,Other,Mumbai,OnePlus,Android,4.1,20.9,29.9,161,5.0,3385,7.8,2.3,1139,Education
U00202,33,Other,Delhi,Realme,Android,8.7,7.5,258.6,42,4.6,8676,3.0,1.9,366,Gaming
U00203,41,Other,Jaipur,OnePlus,iOS,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,395,Education
U00204,45,Other,Hyderabad,OnePlus,Android,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,929,Gaming
U00205,25,Female,Delhi,Realme,iOS,1.5,19.1,235.2,17,2.0,5411,7.5,4.6,1540,Education
U00206,60,Other,Delhi,Xiaomi,Android,7.9,32.2,238.0,65,2.2,4387,7.3,4.1,171,Entertainment
U00207,59,Other,Lucknow,Oppo,Android,7.2,1.0,147.4,93,3.6,3533,3.2,3.5,541,Work
U00208,23,Female,Bangalore,Xiaomi,Android,3.2,32.2,92.2,112,4.1,6328,1.9,2.0,252,Social Media
U00209,21,Male,Ahmedabad,Realme,Android,2.7,25.3,76.5,169,5.9,2312,4.0,1.8,185,Gaming
U00210,16,Male,Chennai,Oppo,Android,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,Work
U00211,15,Other,Kolkata,Vivo,iOS,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,Work
U00212,20,Female,Jaipur,Oppo,Android,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,Entertainment
U00213,37,Male,Hyderabad,Motorola,Android,9.7,26.3,94.1,31,3.8,9853,7.8,4.9,644,Social Media
U00214,18,Other,Bangalore,Google Pixel,Android,10.7,24.8,170.7,184,1.0,9616,2.0,3.8,1542,Work
U00215,33,Other,Delhi,Samsung,Android,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,Social Media
U00216,21,Male,Jaipur,Google Pixel,iOS,12.0,18.0,211.5,113,3.1,1204,1.3,2.0,1766,Work
U00217,28,Other,Ahmedabad,Oppo,Android,10.1,23.4,209.2,78,5.7,5198,4.1,1.6,1712,Gaming
U00218,26,Female,Jaipur,Google Pixel,Android,5.5,8.5,207.8,132,1.4,2955,3.0,0.5,388,Entertainment
U00219,51,Other,Ahmedabad,Oppo,Android,5.4,49.1,106.7,126,1.3,187,5.2,0.7,1496,Entertainment
U00220,43,Other,Bangalore,Samsung,Android,4.8,22.0,23.9,187,3.7,8962,6.1,4.8,519,Social Media
U00221,37,Female,Ahmedabad,Xiaomi,iOS,6.2,22.0,206.9,58,3.6,625,3.4,4.1,198,Entertainment
U00222,34,Female,Hyderabad,Vivo,iOS,8.2,43.2,30.6,14,5.1,1312,6.5,3.9,1861,Work
U00223,45,Male,Pune,Vivo,iOS,3.9,15.1,68.9,124,5.0,1599,4.5,1.7,1484,Gaming
U00224,26,Female,Lucknow,Oppo,iOS,7.0,27.7,199.0,82,3.9,3790,5.4,3.2,1004,Entertainment
U00225,26,Other,Kolkata,Google Pixel,iOS,9.4,16.1,121.1,52,0.8,5732,1.0,4.4,1882,Work
U00226,55,Female,Chennai,Motorola,Android,7.5,4.2,71.0,171,1.0,8505,4.6,3.7,364,Work
U00227,20,Male,Chennai,Realme,Android,4.0,2.5,219.7,83,4.3,891,0.7,3.4,706,Education
U00228,41,Female,Lucknow,Apple,iOS,10.1,38.2,66.3,126,3.5,2472,3.7,4.4,1901,Education
U00229,25,Female,Mumbai,Motorola,iOS,6.4,8.4,5.7,168,3.4,4312,1.1,2.4,651,Gaming
U00230,31,Other,Mumbai,Nokia,iOS,9.5,20.0,299.1,185,5.2,4643,5.7,2.5,529,Social Media
